,params,Time,loss,accuracy
0,0.001,4.65,5.047700000000001,0.1471
1,0.003,1.55,9.314350000000001,0.1673
2,0.005,1.7999999999999998,3.7117000000000004,0.1613
3,0.007,2.1,14.7986,0.0809
4,0.009,2.1,13.45785,0.1642
5,0.0111,2.2,7.8742,0.18385
6,0.0131,2.35,14.61015,0.0933
7,0.0151,2.4,13.413599999999999,0.1674
8,0.0171,2.5,8.22095,0.17535
9,0.0191,2.6500000000000004,14.2731,0.11235
10,0.0212,3.0999999999999996,8.54195,0.15755000000000002
11,0.0232,2.95,8.87585,0.1367
12,0.0252,3.1500000000000004,2.43945,0.17965
13,0.0272,3.45,2.8766999999999996,0.1709
14,0.0292,3.5,13.93905,0.1327
15,0.0313,3.6,7.9473,0.1776
16,0.0333,3.9,14.21185,0.1177
17,0.0353,4.05,14.58375,0.09305
18,0.0373,4.15,8.0549,0.1622
19,0.0393,4.25,14.47135,0.10055
20,0.0414,4.6,14.02945,0.12895
21,0.0434,5.050000000000001,14.82605,0.07875
22,0.0454,4.800000000000001,14.0152,0.13
23,0.0474,5.6,7.8775,0.17395
24,0.0494,5.6,13.7912,0.1438
25,0.0515,5.65,14.754850000000001,0.08445
26,0.0535,6.050000000000001,13.7859,0.14305
27,0.0555,5.800000000000001,13.19,0.16085
28,0.0575,6.25,2.8038,0.1718
29,0.0595,6.15,7.85565,0.18015
30,0.0616,6.75,14.3346,0.1067
31,0.0636,6.699999999999999,7.8291,0.1768
32,0.0656,7.4,2.65135,0.17875000000000002
33,0.0676,8.15,14.547699999999999,0.0958
34,0.0696,7.45,14.00845,0.12995
35,0.0717,7.5,13.80085,0.1432
36,0.0737,7.75,6.06855,0.16865000000000002
37,0.0757,7.8,14.523399999999999,0.09775
38,0.0777,8.0,13.16625,0.18209999999999998
39,0.0797,8.7,14.366299999999999,0.10749999999999998
40,0.0818,9.1,13.2771,0.17445
41,0.0838,9.4,8.36725,0.1435
42,0.0858,9.850000000000001,12.19865,0.1562
43,0.0878,5.800000000000001,14.11945,0.1217
44,0.0898,9.8,8.3987,0.14755000000000001
45,0.0919,0.6,14.7248,0.08555
46,0.0939,0.9,13.95835,0.1276
47,0.0959,0.55,14.7032,0.08635000000000001
48,0.0979,1.9,13.32395,0.17149999999999999
49,0.1,1.85,13.95775,0.13305
